about,про
studio,студія
studying,навчання
stuffing,начинка
stupid,дурний
styling,стилізація
subjecting,піддавання
subsequent,наступний
substance,речовина
substantial,суттєвий
substitute,замінювати
substituting,заміна
subtle,тонкий
suburban,приміський
succeed,досягти успіху
succeeding,успіх
successfully,успішно
sudden,раптовий
sue,подавати в суд
suing,подання в суд
suffering,страждання
sufficient,достатній
sugar,цукор
suggesting,пропозиція
suggestion,пропозиція
suit,костюм
suiting,підходящий
summit,саміт
sun,сонце
super,супер
superior,вищий
supply,постачання
supplying,постачання
supporting,підтримка
supporter,прихильник
suppose,припускати
supposing,припущення
suppress,придушити
suppressing,придушення
Supreme,Верховний
surely,напевно
surfacing,поява
surgery,хірургія
surprise,сюрприз
surprising,дивовижний
surprised,здивований
surround,оточувати
surrounding,оточення
surveillance,спостереження
survey,опитування
surveying,обстеження
survival,виживання
survive,вижити
surviving,виживання
survivor,той що вижив
suspect,підозрювати
suspecting,підозра
suspend,призупиняти
suspending,призупинення
suspicious,підозрілий
sustain,підтримувати
sustaining,підтримка
swear,присягати
swearing,присяга
sweep,підмітати
sweeping,підмітання
sweet,солодкий
sweetening,підсолоджування
swim,плавати
swimming,плавання
swing,гойдатися
swinging,гойдання
switch,перемикач
switching,переключення
syllabus,tutorial
symbol,символ
symptom,симптом
tabling,внесення на розгляд
tablespoon,столова ложка
tablet,таблетка
tackle,боротися
tackling,вирішення
tail,хвіст
taking,взяття
tale,казка
talent,талант
talented,талановитий
talking,розмова
tall,високий
tank,танк
tanking,падіння
tap,кран
tapping,постукування
tape,стрічка
taping,запис
target,ціль
targeting,націлювання
tasking,доручення
taste,смак
tasting,дегустація
taxing,оподаткування
taxpayer,платник податків
tea,чай
teaching,викладання
teaming,команда
tear,сльоза
tearing,розривання
teaspoon,чайна ложка
technical,технічний
technique,техніка
teen,підліток
teenager,підліток
telephone,телефон
telephoning,телефонування
telling,розповідь
temperature,температура
temporary,тимчасовий
tending,догляд
tendency,тенденція
tennis,теніс
tension,напруження
tent,намет
terms,умови
terrible,жахливий
terrifying,жахливий
territory,територія
terror,терор
terrorism,тероризм
terrorist,терорист
testing,тестування
testify,свідчити
testifying,свідчення
testimony,свідчення
text,текст
texting,переписка
thanking,подяка
thanks,дякую
theater,театр
theft,крадіжка
theme,тема
therapy,терапія
therefore,тому
thick,товстий
thickness,товщина
thin,худий
thinning,стоншування
thinking,мислення
thirty,тридцять
threaten,загрожувати
threatening,загрозливий
throat,горло
throwing,кидання
thumb,великий палець
ticket,квиток
ticketing,продаж квитків
tie,краватка
tying,зв'язування
tight,тісний
tightening,стиснення
timing,час
tiny,крихітний
tip,кінчик
tipping,чайові
tire,втомлюватися
tiring,втомливий
tired,втомлений
tissue,тканина
title,назва
titling,присвоєння звання
